,year_make,model_trim,price,state,miles,source
469,2020 BMW ,missing,45495,missing,15883.0,sonic
470,2019 BMW ,missing,39999,missing,23688.0,sonic
471,2019 BMW ,missing,33996,missing,27029.0,sonic
472,2019 BMW ,missing,36999,missing,37835.0,sonic
473,2019 BMW ,missing,35697,missing,22569.0,sonic
474,2019 BMW ,missing,36777,missing,15683.0,sonic
475,2018 BMW ,missing,36999,missing,25937.0,sonic
476,2018 BMW ,missing,37999,missing,37927.0,sonic
477,2018 BMW ,missing,46986,missing,15996.0,sonic
478,2018 BMW ,missing,33999,missing,22135.0,sonic
479,2018 BMW ,missing,33996,missing,25455.0,sonic
480,2018 BMW ,missing,34999,missing,35396.0,sonic
481,2018 BMW ,missing,37499,missing,25434.0,sonic
482,2018 BMW ,missing,34999,missing,30827.0,sonic
483,2018 BMW ,missing,37798,missing,31007.0,sonic
484,2018 BMW ,missing,35999,missing,23917.0,sonic
485,2018 BMW ,missing,36996,missing,25949.0,sonic
486,2018 BMW ,missing,37498,missing,14780.0,sonic
487,2018 BMW ,missing,37487,missing,25048.0,sonic
488,2018 BMW ,missing,28696,missing,48220.0,sonic
489,2018 BMW ,missing,36798,missing,37632.0,sonic
490,2018 BMW ,missing,30999,missing,57001.0,sonic
491,2020 BMW ,missing,43608,missing,14740.0,sonic
492,2020 BMW ,missing,43496,missing,7150.0,sonic
493,2020 BMW ,missing,41496,missing,13124.0,sonic
494,2020 BMW ,missing,41999,missing,8435.0,sonic
495,2020 BMW ,missing,42998,missing,18270.0,sonic
496,2020 BMW ,missing,41998,missing,11003.0,sonic
497,2020 BMW ,missing,42996,missing,8587.0,sonic
