,year_make,model_trim,price,state,miles,source
252, 2017 Audi Q5, 2.0 TFSI Premium ,20991,AZ,99000.0,autonation
253, 2020 Audi Q3, Premium 45 TFSI quattro ,39498,AZ,3000.0,autonation
254, 2019 Audi Q8, Premium 55 TFSI quattro ,60198,AZ,33000.0,autonation
255, 2018 Audi Q5, 2.0 TFSI Premium Plus ,36998,AZ,19000.0,autonation
256, 2018 Audi Q5, 2.0 TFSI Premium Plus ,37598,AZ,22000.0,autonation
257, 2019 Audi Q5, Premium Plus 45 TFSI quattro ,38995,AZ,34000.0,autonation
258, 2020 Audi Q3, S line Premium 45 TFSI quattro ,48463,AZ,12000.0,autonation
259, 2018 Audi Q3, 2.0 TFSI Sport Premium Plus quattro AWD ,28952,AZ,32000.0,autonation
260, 2013 Audi Q5, quattro 4dr 3.0T Premium Plus ,17500,WA,110000.0,autonation
261, 2019 Audi Q8, Premium 55 TFSI quattro ,57798,WA,35000.0,autonation
262, 2018 Audi SQ5, 3.0 TFSI Prestige ,45389,WA,30000.0,autonation
263, 2018 Audi Q5, 2.0 TFSI Tech Premium ,33998,NV,18000.0,autonation
264, 2013 Audi Q7, quattro 4dr 3.0L TDI Prestige ,17974,NV,134000.0,autonation
265, 2014 Audi Q5, quattro 4dr 3.0T Premium Plus ,18489,NV,81000.0,autonation
266, 2014 Audi Q5, quattro 4dr 2.0T Premium Plus ,20895,NV,60000.0,autonation
267, 2020 Audi Q3, Premium 45 TFSI quattro ,31995,NV,32000.0,autonation
268, 2014 Audi Q5, quattro 4dr 2.0T Premium ,16598,NV,96000.0,autonation
269, 2018 Audi Q5, 2.0 TFSI Prestige ,35498,NV,47000.0,autonation
270, 2019 Audi Q7, Premium 45 TFSI quattro ,43991,NV,25000.0,autonation
271, 2018 Audi Q5, 2.0 TFSI Premium Plus ,33598,NV,34000.0,autonation
272, 2018 Audi Q5, 2.0 TFSI Premium Plus ,35998,NV,38000.0,autonation
273, 2018 Audi Q5, 2.0 TFSI Premium Plus ,33999,NV,35000.0,autonation
274, 2016 Audi Q5, quattro 4dr 2.0T Premium Plus ,24998,NV,55000.0,autonation
275, 2019 Audi Q7, Premium Plus 55 TFSI quattro ,47960,NV,34000.0,autonation
276, 2019 Audi e-tron, Premium Plus quattro ,58888,NV,14000.0,autonation
277, 2019 Audi Q7, Prestige 55 TFSI quattro ,55498,NV,27000.0,autonation
278, 2018 Audi Q7, 2.0 TFSI Premium ,40990,NV,16000.0,autonation
279, 2017 Audi Q5, 2.0 TFSI Premium Plus ,24491,NV,79000.0,autonation
280, 2011 Audi Q5, quattro 4dr 3.2L Prestige ,16500,WA,58000.0,autonation
281, 2014 Audi Q7, quattro 4dr 3.0T Premium Plus ,20792,WA,89000.0,autonation
