,year_make,model_trim,price,state,miles,source,type
228, 2019 Audi S4, Premium Plus 3.0 TFSI quattro ,48999,AZ,16000.0,autonation,sedan
229, 2018 Audi A4, 2.0 TFSI Premium Plus S Tronic quattro AWD ,34551,AZ,17000.0,autonation,sedan
230, 2020 Audi A4 Sedan, Premium 40 TFSI ,35542,AZ,10000.0,autonation,sedan
231, 2018 Audi S5 Sportback, 3.0 TFSI Prestige ,41952,AZ,66000.0,autonation,sedan
232, 2013 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,17974,WA,77000.0,autonation,sedan
233, 2014 Audi S4, 4dr Sdn Man Prestige ,29211,WA,62000.0,autonation,sedan
234, 2018 Audi A4 allroad, 2.0 TFSI Tech Premium Plus ,40992,WA,9000.0,autonation,sedan
235, 2017 Audi A6, 3.0 TFSI Premium Plus quattro AWD ,33995,WA,17000.0,autonation,sedan
236, 2019 Audi A3 Sedan, Premium 45 TFSI quattro ,28779,WA,18000.0,autonation,sedan
237, 2015 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,19499,WA,70000.0,autonation,sedan
238, 2013 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,15995,WA,68000.0,autonation,sedan
239, 2018 Audi A3 Sedan, 2.0 TFSI Premium Plus quattro AWD ,30498,WA,29000.0,autonation,sedan
240, 2018 Audi A4, 2.0 TFSI Premium Plus S Tronic quattro AWD ,36348,WA,14000.0,autonation,sedan
241, 2018 Audi A3 Sedan, 2.0 TFSI Premium FWD ,22759,NV,57000.0,autonation,sedan
242, 2018 Audi A3 Sedan, 2.0 TFSI Premium FWD ,26487,NV,32000.0,autonation,sedan
243, 2018 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,27450,NV,14000.0,autonation,sedan
244, 2015 Audi S4, 4dr Sdn S Tronic Premium Plus ,29499,NV,45000.0,autonation,sedan
245, 2018 Audi A3 Sportback e-tron, 1.4 TFSI  PHEV Premium ,31590,NV,12000.0,autonation,sedan
246, 2018 Audi A3 Sedan, 2.0 TFSI Premium FWD ,24948,NV,38000.0,autonation,sedan
247, 2020 Audi A3 Sedan, Premium 40 TFSI ,30975,NV,9000.0,autonation,sedan
248, 2012 Audi A3, 4dr HB S tronic FrontTrak 2.0T Premium ,9752,NV,106000.0,autonation,sedan
249, 2014 Audi A4, 4dr Sdn Auto quattro 2.0T Premium ,15499,NV,79000.0,autonation,sedan
250, 2016 Audi A4, CVT FrontTrak 2.0T Premium ,19452,NV,71000.0,autonation,sedan
251, 2019 Audi A8 L, 55 TFSI quattro ,56998,NV,42000.0,autonation,sedan
252, 2019 Audi S5 Sportback, Premium Plus 3.0 TFSI quattro ,54774,NV,16000.0,autonation,sedan
253, 2019 Audi A4, Premium 40 TFSI ,27598,NV,29000.0,autonation,sedan
254, 2018 Audi A4, 2.0 TFSI ultra Premium Plus S Tronic FWD ,23952,NV,73000.0,autonation,sedan
255, 2018 Audi A3 Sedan, 2.0 TFSI Premium FWD ,24987,NV,33000.0,autonation,sedan
256, 2021 Audi S4, Premium 3.0 TFSI quattro ,50889,NV,1000.0,autonation,sedan
257, 2019 Audi S3, Premium Plus 2.0 TFSI quattro ,38691,NV,22000.0,autonation,sedan
258, 2018 Audi S3, 2.0 TFSI Premium Plus ,33998,NV,59000.0,autonation,sedan
259, 2014 Audi A4, 4dr Sdn Auto quattro 2.0T Premium ,14457,NV,86000.0,autonation,sedan
260, 2013 Audi A6, 4dr Sdn quattro 3.0T Premium Plus ,21499,CA,52000.0,autonation,sedan
261, 2015 Audi A6, 4dr Sdn FrontTrak 2.0T Premium Plus ,17985,CA,86000.0,autonation,sedan
262, 2018 Audi A5 Sportback, 2.0 TFSI Premium Plus ,34995,CA,48000.0,autonation,sedan
263, 2019 Audi A3 Sedan, Premium Plus 40 TFSI ,29499,CA,34000.0,autonation,sedan
264, 2014 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,22952,WA,41000.0,autonation,sedan
265, 2017 Audi S3, 2.0 TFSI Premium Plus ,34955,WA,30000.0,autonation,sedan
266, 2018 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,26998,WA,16000.0,autonation,sedan
267, 2013 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,16998,WA,59000.0,autonation,sedan
